Route_ID
4203_10/31/2024-260
4226_12/5/2024-800
2329_8/27/2024-794
6346_8/10/2024-802
3049_10/9/2024-991
4335_9/5/2024-802
3340_12/26/2024-50
5220_9/6/2024-800
2343_7/16/2024-688
5326_6/7/2024-794
5335_11/15/2024-802
3335_11/27/2024-802
6346_12/28/2024-802
4219_8/29/2024-800
5345_11/15/2024-794
1310_8/12/2024-654
4404_8/22/2024-165
5170_9/13/2024-628
3340_9/5/2024-50
4306_7/11/2024-427
4308_10/17/2024-794
5220_10/25/2024-800
4246_10/31/2024-800
5833_11/15/2024-732
5335_10/25/2024-802
1335_12/2/2024-802
3244_11/13/2024-800
5170_8/9/2024-628
1340_7/15/2024-50
2361_7/30/2024-997
1340_6/3/2024-50
2330_12/10/2024-794
2308_1/21/2025-794
1335_6/3/2024-802
5335_8/16/2024-802
2335_7/23/2024-802
5220_1/31/2025-800
4317_11/14/2024-794
1335_9/23/2024-802
5255_11/1/2024-800
5335_12/6/2024-802
3340_1/15/2025-50
1317_9/9/2024-794
5308_10/25/2024-794
3335_8/14/2024-802
2335_12/3/2024-802
2249_2/4/2025-800
1225_6/10/2024-224
5318_12/20/2024-794
5335_9/20/2024-802
2330_6/25/2024-794
1212_7/1/2024-260
5335_9/6/2024-802
6346_10/26/2024-802
3343_6/19/2024-688
6346_2/1/2025-802
4158_8/8/2024-757
3216_8/21/2024-800
3335_12/4/2024-802
5335_10/4/2024-802
2226_7/30/2024-800
4219_8/8/2024-800
4330_12/19/2024-794
3219_10/9/2024-800
1312_1/13/2025-794
4335_12/26/2024-802
3340_8/7/2024-50
2329_10/1/2024-794
5049_1/10/2025-991
4343_6/20/2024-688
3256_8/14/2024-800
3343_10/2/2024-688
3219_6/5/2024-800
5602_10/25/2024-715
2317_11/19/2024-794
6346_12/7/2024-802
5335_11/8/2024-802
2308_1/28/2025-794
1335_1/13/2025-802
1308_10/21/2024-794
1335_8/19/2024-802
5335_6/28/2024-802
2308_11/12/2024-794
4335_10/24/2024-802
4244_11/21/2024-800
1361_6/17/2024-997
1309_11/25/2024-319
5340_10/11/2024-50
5361_6/21/2024-997
2335_8/13/2024-802
5225_7/12/2024-224
5220_10/18/2024-800
4335_11/14/2024-802
2335_8/20/2024-802
4335_7/18/2024-802
3317_12/4/2024-794
1340_1/27/2025-50
3335_7/3/2024-802
4335_7/11/2024-802
5220_9/20/2024-800
4319_6/6/2024-820
1244_1/27/2025-800
1335_7/22/2024-802
4335_1/9/2025-802
2246_6/11/2024-800
2330_10/15/2024-794
1244_7/22/2024-800
1320_7/1/2024-794
3241_7/17/2024-800
1340_8/19/2024-50
2308_10/29/2024-794
5340_10/25/2024-50
3614_9/11/2024-742
2244_7/30/2024-800
6346_7/20/2024-802
6346_7/27/2024-802
3340_1/22/2025-50
5335_11/22/2024-802
1049_1/27/2025-991
2402_8/13/2024-165
3324_6/26/2024-794
5247_9/20/2024-800
1614_8/26/2024-742
2241_6/25/2024-800
2249_1/28/2025-800
1220_9/30/2024-224
4250_1/23/2025-800
3335_1/8/2025-802
5220_12/13/2024-800
1831_6/10/2024-732
2314_6/4/2024-794
3340_1/2/2025-50
5317_11/1/2024-794
2335_10/29/2024-802
3317_11/13/2024-794
4318_9/5/2024-794
1340_8/12/2024-50
5340_8/9/2024-50
1335_7/29/2024-802
6346_11/2/2024-802
5049_10/11/2024-991
1316_10/14/2024-794
4227_8/29/2024-800
5318_10/18/2024-794
2743_6/25/2024-744
2338_7/2/2024-794
2241_7/23/2024-800
1332_12/9/2024-794
3317_10/9/2024-794
5335_6/14/2024-802
3049_1/15/2025-991
